2020-05-27 11:32:01,145 INFO o.h.v.i.u.Version [background-preinit] HV000001: Hibernate Validator 6.0.18.Final
2020-05-27 11:32:03,420 INFO o.h.j.i.u.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-27 11:32:03,509 INFO o.h.Version [main] HHH000412: Hibernate ORM core version 5.4.12.Final
2020-05-27 11:32:03,679 INFO o.h.a.c.Version [main] HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-27 11:32:03,828 INFO o.h.d.Dialect [main] HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-05-27 11:32:04,675 INFO o.h.e.t.j.p.i.JtaPlatformInitiator [main] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-05-27 11:32:07,063 INFO c.a.s.p.r.UserController [main] [com.axa.softwareacademy.p6.model.User@614cd187, com.axa.softwareacademy.p6.model.User@e7d0db2]
2020-05-27 11:32:49,751 INFO o.h.v.i.u.Version [background-preinit] HV000001: Hibernate Validator 6.0.18.Final
2020-05-27 11:32:52,250 INFO o.h.j.i.u.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-27 11:32:52,327 INFO o.h.Version [main] HHH000412: Hibernate ORM core version 5.4.12.Final
2020-05-27 11:32:52,365 INFO o.h.a.c.Version [main] HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-27 11:32:52,477 INFO o.h.d.Dialect [main] HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-05-27 11:32:53,060 INFO o.h.e.t.j.p.i.JtaPlatformInitiator [main] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-05-27 11:32:54,794 INFO c.a.s.p.s.CreateService [main] New user saved successfully
2020-05-27 11:32:54,795 INFO c.a.s.p.s.CreateService [main] New account for user saved successfully, linked ok
2020-05-27 11:32:54,795 INFO c.a.s.p.s.CreateService [main] com.axa.softwareacademy.p6.model.User@335cdd2
2020-05-27 11:33:05,695 INFO o.h.v.i.u.Version [background-preinit] HV000001: Hibernate Validator 6.0.18.Final
2020-05-27 11:33:07,699 INFO o.h.j.i.u.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-27 11:33:07,743 INFO o.h.Version [main] HHH000412: Hibernate ORM core version 5.4.12.Final
2020-05-27 11:33:07,843 INFO o.h.a.c.Version [main] HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-27 11:33:07,923 INFO o.h.d.Dialect [main] HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-05-27 11:33:08,454 INFO o.h.e.t.j.p.i.JtaPlatformInitiator [main] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-05-27 11:33:09,043 INFO c.a.s.p.PayMyBuddyApplication [main] Application launch successful
